,Name,Address,Notes,Phone_Number,Station_Type,Vaccine_Type,Notes
468,Rite Aid Pharmacy ,"1179 East 233rd Street, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
469,Rite Aid Pharmacy ,"122-02 Liberty Avenue, Queens",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
470,Rite Aid Pharmacy ,"144-29 Northern Boulevard, Queens",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
471,Rite Aid Pharmacy ,"1510 St. Nicholas Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
472,Rite Aid Pharmacy ,"1516-1518 Westchester Avenue, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
473,Rite Aid Pharmacy ,"1535 2nd Avenue, Manhattan",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
474,Rite Aid Pharmacy ,"1540 Grand Concourse, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
475,Rite Aid Pharmacy ,"158-02 Union Turnpike, Queens",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
476,Rite Aid Pharmacy ,"1631-43 Pitkin Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
477,Rite Aid Pharmacy ,"165-02 Baisley Boulevard, Queens",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
478,Rite Aid Pharmacy ,"1679 Bedford Avenue, Brooklyn",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
479,Rite Aid Pharmacy ,"1791 Utica Avenue, Brooklyn",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
480,Rite Aid Pharmacy ,"182 Smith Street, Brooklyn",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
481,Rite Aid Pharmacy ,"1849 2nd Avenue, Manhattan",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
482,Rite Aid Pharmacy ,"185 Kings Highway, Brooklyn",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
483,Rite Aid Pharmacy ,"188 9th Avenue, Manhattan",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
484,Rite Aid Pharmacy ,"195 8th Avenue, Manhattan",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
485,Rite Aid Pharmacy ,"1950 Fulton Street, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
486,Rite Aid Pharmacy ,"1951 1st Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
487,Rite Aid Pharmacy ,"2002 Avenue U, Brooklyn",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
488,Rite Aid Pharmacy ,"2063 Bartow Avenue, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
489,Rite Aid Pharmacy ,"2064 Mill Avenue, Brooklyn",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Pfizer (12+)Pfizer (5-11),
490,Rite Aid Pharmacy ,"210 Amsterdam Avenue, Manhattan",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
491,Rite Aid Pharmacy ,"21-25 Broadway, Queens",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
492,Rite Aid Pharmacy ,"2155 3rd Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
493,Rite Aid Pharmacy ,"2170 Frederick Douglass Boulevard, Manhattan",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
494,Rite Aid Pharmacy ,"218-35 Hempstead Avenue, Queens",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
495,Rite Aid Pharmacy ,"21b Knolls Crescent, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
496,Rite Aid Pharmacy ,"222-14 Linden Boulevard, Queens",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
497,Rite Aid Pharmacy ,"225 Liberty Street, Manhattan",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
498,Rite Aid Pharmacy ,"2271 Richmond Avenue, Staten Island",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
499,Rite Aid Pharmacy ,"2426-34 Eastchester Road, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
500,Rite Aid Pharmacy ,"245-14 Francis Lewis Boulevard, Queens",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
501,Rite Aid Pharmacy ,"249 7th Avenue, Brooklyn",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
502,Rite Aid Pharmacy ,"2577 Nostrand Avenue, Brooklyn",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
503,Rite Aid Pharmacy ,"26 Grand Central Terminal, Manhattan",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
504,Rite Aid Pharmacy ,"2748 East Tremont Avenue, Bronx",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
505,Rite Aid Pharmacy ,"2819 Church Avenue, Brooklyn",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
506,Rite Aid Pharmacy ,"282 8th Avenue, Manhattan",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
507,Rite Aid Pharmacy ,"2981 Ocean Avenue, Brooklyn",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
508,Rite Aid Pharmacy ,"3001 Mermaid Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
509,Rite Aid Pharmacy ,"301 West 50th Street, Manhattan",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
510,Rite Aid Pharmacy ,"320 Smith Street, Brooklyn",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+)Pfizer (5-11),
511,Rite Aid Pharmacy ,"32-14 31st Street, Queens",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
512,Rite Aid Pharmacy ,"32-87 Steinway Street, Queens",,N/A,Pharmacy ,Vaccine offered:Moderna (18+),
513,Rite Aid Pharmacy ,"32-87 Steinway Street,--, Queens",,N/A,Pharmacy ,Vaccine offered:Pfizer (12+),
514,Rite Aid Pharmacy ,"33-01 30th Avenue, Queens",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
515,Rite Aid Pharmacy ,"344 Avenue X, Brooklyn",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Pfizer (12+),
516,Rite Aid Pharmacy ,"3539 Broadway, Manhattan",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
517,Rite Aid Pharmacy ,"35-45 West 125th Street, Manhattan",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
518,Rite Aid Pharmacy ,"3700-06 Junction Boulevard, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
519,Rite Aid Pharmacy ,"3823 Nostrand Avenue, Brooklyn",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
520,Rite Aid Pharmacy ,"385 Bay Street,Suite 1, Staten Island",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
521,Rite Aid Pharmacy ,"4046 Broadway, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
522,Rite Aid Pharmacy ,"408 Grand Street, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
523,Rite Aid Pharmacy ,"4102 Church Avenue, Brooklyn",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
524,Rite Aid Pharmacy ,"4159 White Plains Road, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
525,Rite Aid Pharmacy ,"4188 Broadway, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
526,Rite Aid Pharmacy ,"43-20 Bell Boulevard, Queens",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
527,Rite Aid Pharmacy ,"43-68 Amboy Road, Staten Island",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
528,Rite Aid Pharmacy ,"46-12 Greenpoint Avenue, Queens",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
529,Rite Aid Pharmacy ,"4910 Broadway, Manhattan",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
530,Rite Aid Pharmacy ,"50-15 Roosevelt Avenue, Queens",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
531,Rite Aid Pharmacy ,"5102 13th Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
532,Rite Aid Pharmacy ,"5224 5th Ave, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
533,Rite Aid Pharmacy ,"534 Hudson Street, Manhattan",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
534,Rite Aid Pharmacy ,"537-539 East 138th Street, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
535,Rite Aid Pharmacy ,"550 2nd Avenue, Manhattan",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
536,Rite Aid Pharmacy ,"55-60 Myrtle Avenue, Queens",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
537,Rite Aid Pharmacy ,"57 East Burnside Avenue, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
538,Rite Aid Pharmacy ,"5825-35 Broadway, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
539,Rite Aid Pharmacy ,"583 Grandview Avenue, Queens",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
540,Rite Aid Pharmacy ,"5901 Bay Parkway, Brooklyn",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
541,Rite Aid Pharmacy ,"592 East 183rd Street, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
542,Rite Aid Pharmacy ,"60-26 Woodside Avenue, Queens",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
543,Rite Aid Pharmacy ,"6201-23 4th Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
544,Rite Aid Pharmacy ,"6423 Ft Hamilton Parkway, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
545,Rite Aid Pharmacy ,"650 Castle Hill Avenue, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
546,Rite Aid Pharmacy ,"6900 4th Avenue, Brooklyn",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
547,Rite Aid Pharmacy ,"7 Madison Street, Manhattan",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
548,Rite Aid Pharmacy ,"71-14 Austin Street, Queens",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
549,Rite Aid Pharmacy ,"7118 3rd Avenue, Brooklyn",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
550,Rite Aid Pharmacy ,"71-18 Kissena Boulevard, Queens",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+)Pfizer (5-11),
551,Rite Aid Pharmacy ,"741 Columbus Avenue, Manhattan",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
552,Rite Aid Pharmacy ,"7501 5th Avenue, Brooklyn",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
553,Rite Aid Pharmacy ,"7812 Flatlands Avenue, Brooklyn",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
554,Rite Aid Pharmacy ,"783 Manhattan Avenue, Brooklyn",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
555,Rite Aid Pharmacy ,"81 1st Avenue, Manhattan",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
556,Rite Aid Pharmacy ,"82-13 37th Avenue, Queens",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+)Pfizer (5-11),
557,Rite Aid Pharmacy ,"8222 18th Avenue, Brooklyn",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
558,Rite Aid Pharmacy ,"840 Westchester Avenue, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
559,Rite Aid Pharmacy ,"85 Avenue D, Manhattan",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
560,Rite Aid Pharmacy ,"85-10 Northern Boulevard, Queens",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
561,Rite Aid Pharmacy ,"89-10 Jamaica Avenue, Queens",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
562,Rite Aid Pharmacy ,"892 Flatbush Avenue, Brooklyn",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
563,Rite Aid Pharmacy ,"901 East Gun Hill Road, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
564,Rite Aid Pharmacy ,"911 Morris Park Avenue, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
565,Rite Aid Pharmacy ,"9302 3rd Avenue, Brooklyn",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
566,Rite Aid Pharmacy ,"950 Southern Boulevard, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
567,Rite Aid Pharmacy ,"95-14 63rd Drive, Queens",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
568,Rite Aid Pharmacy ,"960 Halsey Street, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
569,Rite Aid Pharmacy ,"9738 Seaview Avenue, Brooklyn",,N/A,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),
570,Rite Choice Pharmacy ,"1484 Fulton Street, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 773-3700,Pharmacy ,Vaccines offered:Moderna (18+)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
571,Romiran Inc Pharmacy ,"102-10 Metropolitan Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 880-2842,Pharmacy ,Vaccines offered:Moderna (18+)Pfizer (12+)Johnson & Johnson (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
572,Roosevelt City Pharmacy ,"79-18 Roosevelt Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 255-1065,Pharmacy ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
573,Rosebank Pharmacy ,"500 Tompkins Avenue, Staten Island",,(718) 727-0426,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+)Johnson & Johnson (18+),
574,Rossi Pharmacy ,"1891 Eastern Parkway, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 346-2506,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+)Pfizer (12+)Pfizer (5-11),"Walk-up vaccinations available to all eligible New Yorkers , "
575,Royal Care Drugs Inc ,"136-71 41st Avenue, Queens",,(718) 888-0004,Pharmacy ,Vaccine offered:Moderna (18+),
576,Royal Pharmacy ,"5030 Broadway, 1st Floor, Manhattan",,(212) 567-9800,Pharmacy ,Vaccine offered:Moderna (18+),
577,Rx Box Pharmacy ,"3265 Richmond Ave, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 500-3269,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+)Pfizer (12+)Pfizer (5-11),"Walk-up vaccinations available to all eligible New Yorkers , "
578,Rx Center Pharmacy ,"2325 First Avenue, Manhattan",,(212) 289-8839,Pharmacy ,Vaccine offered:Moderna (18+),
579,Rx Masters Pharmacy ,"1437 Webster Avenue, Bronx",,(718) 293-0800,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+),
580,RX Warehouse Pharmacy Inc. ,"7724 New Utrecht Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 236-1212,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
581,RxCircle Pharmacy ,"5001 7th Avenue, Brooklyn",,(718) 686-8280,Pharmacy ,Vaccine offered:Moderna (18+),
582,S & K Warbasse Pharmacy ,"499 Neptune Avenue, Brooklyn",,(718) 449-5177,Pharmacy ,Vaccine offered:Moderna (18+),
583,S Bros Pharmacy ,"176 Lee Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 855-3070,Pharmacy ,Vaccines offered:Moderna (18+)Pfizer (5-11)Pfizer (12+)Johnson & Johnson (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
584,S.V.R.H. Pharmacy Inc ,"161 Smith Street, Brooklyn",,(718) 596-1688,Pharmacy ,Vaccine offered:Moderna (18+),
585,Santa Maria Pharmacy ,"255 South 2nd Street, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 388-0745,Pharmacy ,Vaccines offered:Pfizer (5-11)Johnson & Johnson (18+)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
586,Scarpa Pharmacy ,"6220 11th Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 745-5499,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
587,Sedgwick Pharmacy ,"3880 Sedgwick Avenue, Bronx",,(718) 543-3116,Pharmacy ,Vaccine offered:Moderna (18+),
588,Shanti Pharmacy Corp DBA Silver Rod Drugs ,"5105 Church Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 922-3400,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+)Pfizer (12+)Pfizer (5-11),"Walk-up vaccinations available to all eligible New Yorkers , "
589,Sherman Pharmacy 2 ,"58-10 Myrtle Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 628-8190,Pharmacy ,Vaccines offered:Moderna (18+)Pfizer (5-11),"Walk-up vaccinations available to all eligible New Yorkers , "
590,Skycare Pharmacy ,"85-29 Grand Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 685-2678,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
591,Smart Choice Pharmacy ,"259 Avenue X, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 339-3400,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+)Johnson & Johnson (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
592,Smart Shop Pharmacy ,"32-17A Beach Channel Drive, Queens",,(718) 868-2200,Pharmacy ,Vaccine offered:Moderna (18+),
593,SmartRX Specialty Pharmacy ,"1706 Lexington Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 742-7622,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
594,Southshore Pharmacy Corp. ,"4020 Hylan Boulevard, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 948-4848,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+)Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
595,St. Jude Pharmacy ,"121 St. Nicholas Avenue, Brooklyn",,N/A,Pharmacy ,Vaccine offered:Moderna (18+),
596,Star Drugs Inc ,"922 Pennsylvania Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 649-0499,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
597,Starrett City Pharmacy ,"1110 Pennsylvania Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 257-8777,Pharmacy ,Vaccines offered:Moderna (18+)Pfizer (12+)Johnson & Johnson (18+)Pfizer (5-11),"Walk-up vaccinations available to all eligible New Yorkers , "
598,Stop & Shop Pharmacy 2581 ,"156-01 Cross Bay Boulevard, Queens",,(833) 910-3590,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),
599,Stop & Shop Pharmacy 2585 ,"134-40 Springfield Boulevard, Queens",,(833) 910-3590,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),
600,Stop & Shop Pharmacy 2586 ,"625 Atlantic Avenue, Brooklyn",,(833) 910-3590,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),
601,Stop & Shop Pharmacy 2587 ,"31-06 Farrington Street, Queens",,(833) 910-3590,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),
602,Stop & Shop Pharmacy 2589 ,"92-10 Atlantic Avenue, Queens",,(833) 910-3590,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+),
603,Stop & Shop Pharmacy 2591 ,"2965 Cropsey Avenue, Brooklyn",,(833) 910-3590,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+),
604,Stop & Shop Pharmacy 2592 ,"2136 Bartow Avenue, Bronx",,(833) 910-3590,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),
605,Stop & Shop Pharmacy 2593 ,"961 East 174th Street, Bronx",,(803) 910-3590,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+),
606,Stop & Shop Pharmacy 2595 ,"1351 Forest Avenue, Staten Island",,(833) 910-3590,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),
607,Stop & Shop Pharmacy 504 ,"691 Co-Op City Boulevard, Bronx",,(833) 910-3590,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),
608,Stop & Shop Pharmacy 505 ,"1710 Avenue Y, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(833) 910-3590,Pharmacy ,Vaccines offered:Pfizer (5-11)Moderna (18+)Johnson & Johnson (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
609,Stop & Shop Pharmacy 509 ,"74-17 Grand Avenue, Queens",,(833) 910-3590,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+),
610,Stop & Shop Pharmacy 566 ,"70-20 Rockaway Beach Boulevard, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(833) 910-3590,Pharmacy ,Vaccines offered:Pfizer (5-11)Johnson & Johnson (18+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
611,Stop & Shop Pharmacy 581 ,"2754 Hylan Boulevard, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(833) 910-3590,Pharmacy ,Vaccines offered:Pfizer (5-11)Johnson & Johnson (18+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
