ID,Name,Address,Notes,Phone_Number,Station_Type,Vaccine_Type,Notes,formatted_address,latitude,longitude
575,Royal Care Drugs Inc ,"136-71 41st Avenue, Queens",,(718) 888-0004,Pharmacy ,Vaccine offered:Moderna (18+),,"136-71 41st Ave, Flushing, NY 11355, USA",40.7593277,-73.8270007
576,Royal Pharmacy ,"5030 Broadway, 1st Floor, Manhattan",,(212) 567-9800,Pharmacy ,Vaccine offered:Moderna (18+),,"5030 Broadway 1st Floor, New York, NY 10034, USA",40.8688715,-73.9166929
577,Rx Box Pharmacy ,"3265 Richmond Ave, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 500-3269,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+)Pfizer (12+)Pfizer (5-11),"Walk-up vaccinations available to all eligible New Yorkers , ","3265 Richmond Ave, Staten Island, NY 10312, USA",40.5595642,-74.1680519
578,Rx Center Pharmacy ,"2325 First Avenue, Manhattan",,(212) 289-8839,Pharmacy ,Vaccine offered:Moderna (18+),,"2325 1st Ave., New York, NY 10035, USA",40.798167,-73.9341681
579,Rx Masters Pharmacy ,"1437 Webster Avenue, Bronx",,(718) 293-0800,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+),,"1437 Webster Ave, Bronx, NY 10456, USA",40.8373318,-73.9070391
580,RX Warehouse Pharmacy Inc. ,"7724 New Utrecht Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 236-1212,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","7724 New Utrecht Ave, Brooklyn, NY 11214, USA",40.6137015,-74.0008551
581,RxCircle Pharmacy ,"5001 7th Avenue, Brooklyn",,(718) 686-8280,Pharmacy ,Vaccine offered:Moderna (18+),,"5001 7th Ave, Brooklyn, NY 11220, USA",40.6422207,-74.0057975
582,S & K Warbasse Pharmacy ,"499 Neptune Avenue, Brooklyn",,(718) 449-5177,Pharmacy ,Vaccine offered:Moderna (18+),,"499 Neptune Ave, Brooklyn, NY 112244003, USA",40.580311,-73.9721901
583,S Bros Pharmacy ,"176 Lee Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 855-3070,Pharmacy ,Vaccines offered:Moderna (18+)Pfizer (5-11)Pfizer (12+)Johnson & Johnson (18+),"Walk-up vaccinations available to all eligible New Yorkers , ","176 Lee Ave, Brooklyn, NY 11211, USA",40.7025507,-73.9565758
584,S.V.R.H. Pharmacy Inc ,"161 Smith Street, Brooklyn",,(718) 596-1688,Pharmacy ,Vaccine offered:Moderna (18+),,"161 Smith St, Brooklyn, NY 11201, USA",40.6862232,-73.9905147
585,Santa Maria Pharmacy ,"255 South 2nd Street, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 388-0745,Pharmacy ,Vaccines offered:Pfizer (5-11)Johnson & Johnson (18+)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , ","255 S 2nd St, Brooklyn, NY 11211, USA",40.7117728,-73.9576291
586,Scarpa Pharmacy ,"6220 11th Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 745-5499,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , ","6220 11th Ave, Brooklyn, NY 11219, USA",40.630072,-74.004759
587,Sedgwick Pharmacy ,"3880 Sedgwick Avenue, Bronx",,(718) 543-3116,Pharmacy ,Vaccine offered:Moderna (18+),,"3880 Sedgwick Ave, Bronx, NY 10463, USA",40.882643,-73.8936812
588,Shanti Pharmacy Corp DBA Silver Rod Drugs ,"5105 Church Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 922-3400,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+)Pfizer (12+)Pfizer (5-11),"Walk-up vaccinations available to all eligible New Yorkers , ","5105 Church Ave, Brooklyn, NY 11203, USA",40.6522221,-73.9292061
589,Sherman Pharmacy 2 ,"58-10 Myrtle Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 628-8190,Pharmacy ,Vaccines offered:Moderna (18+)Pfizer (5-11),"Walk-up vaccinations available to all eligible New Yorkers , ","58-10 Myrtle Ave, Ridgewood, NY 11385, USA",40.7003343,-73.9010433
590,Skycare Pharmacy ,"85-29 Grand Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 685-2678,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , ","85-29 Grand Ave, Elmhurst, NY 11373, USA",40.7356118,-73.8814742
591,Smart Choice Pharmacy ,"259 Avenue X, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 339-3400,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+)Johnson & Johnson (18+),"Walk-up vaccinations available to all eligible New Yorkers , ","259 Avenue X, Brooklyn, NY 11223, USA",40.5904597,-73.973338
592,Smart Shop Pharmacy ,"32-17A Beach Channel Drive, Queens",,(718) 868-2200,Pharmacy ,Vaccine offered:Moderna (18+),,"32-17A Beach Channel Dr, Far Rockaway, NY 11691, USA",40.5978995,-73.7661147
593,SmartRX Specialty Pharmacy ,"1706 Lexington Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 742-7622,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","1706 Lexington Ave, New York, NY 10029, USA",40.7928057,-73.9461426
594,Southshore Pharmacy Corp. ,"4020 Hylan Boulevard, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 948-4848,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+)Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","4020 Hylan Blvd, Staten Island, NY 10308, USA",40.5414787,-74.1461982
595,St. Jude Pharmacy ,"121 St. Nicholas Avenue, Brooklyn",,N/A,Pharmacy ,Vaccine offered:Moderna (18+),,"121 St Nicholas Ave, Brooklyn, NY 11237, USA",40.7055014,-73.9178182
596,Star Drugs Inc ,"922 Pennsylvania Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 649-0499,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , ","922 Granville Payne Ave, Brooklyn, NY 11207, USA",40.6551312,-73.8882703
597,Starrett City Pharmacy ,"1110 Pennsylvania Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 257-8777,Pharmacy ,Vaccines offered:Moderna (18+)Pfizer (12+)Johnson & Johnson (18+)Pfizer (5-11),"Walk-up vaccinations available to all eligible New Yorkers , ","1110 Granville Payne Ave, Brooklyn, NY 11207, USA",40.6535699,-73.8872962
598,Stop & Shop Pharmacy 2581 ,"156-01 Cross Bay Boulevard, Queens",,(833) 910-3590,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),,"156-01 Cross Bay Blvd, Jamaica, NY 11414, USA",40.6638075,-73.8405279
599,Stop & Shop Pharmacy 2585 ,"134-40 Springfield Boulevard, Queens",,(833) 910-3590,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),,"134-40 Springfield Blvd, Queens, NY 11413, USA",40.6797347,-73.7553703
600,Stop & Shop Pharmacy 2586 ,"625 Atlantic Avenue, Brooklyn",,(833) 910-3590,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),,"625 Atlantic Ave, Brooklyn, NY 11217, USA",40.6840553,-73.975473
601,Stop & Shop Pharmacy 2587 ,"31-06 Farrington Street, Queens",,(833) 910-3590,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),,"31-06 Farrington St, Flushing, NY 11354, USA",40.7688895,-73.8342346
602,Stop & Shop Pharmacy 2589 ,"92-10 Atlantic Avenue, Queens",,(833) 910-3590,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+),,"Parking lot, 92-10 Atlantic Ave, Ozone Park, NY 11416, USA",40.6871551,-73.849809
603,Stop & Shop Pharmacy 2591 ,"2965 Cropsey Avenue, Brooklyn",,(833) 910-3590,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+),,"2965 Cropsey Ave, Brooklyn, NY 11214, USA",40.5827572,-73.9849313
604,Stop & Shop Pharmacy 2592 ,"2136 Bartow Avenue, Bronx",,(833) 910-3590,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),,"2136 Bartow Ave, Bronx, NY 10475, USA",40.8682642,-73.8266056
605,Stop & Shop Pharmacy 2593 ,"961 East 174th Street, Bronx",,(803) 910-3590,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+),,"961 E 174th St, Bronx, NY 10460, USA",40.8366146,-73.8836672
606,Stop & Shop Pharmacy 2595 ,"1351 Forest Avenue, Staten Island",,(833) 910-3590,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),,"1351 Forest Ave, Staten Island, NY 10302, USA",40.6262299,-74.1355571
607,Stop & Shop Pharmacy 504 ,"691 Co-Op City Boulevard, Bronx",,(833) 910-3590,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),,"691 Co Op City Blvd, Bronx, NY 10475, USA",40.8807245,-73.8251811
608,Stop & Shop Pharmacy 505 ,"1710 Avenue Y, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(833) 910-3590,Pharmacy ,Vaccines offered:Pfizer (5-11)Moderna (18+)Johnson & Johnson (18+),"Walk-up vaccinations available to all eligible New Yorkers , ","1710 Ave Y, Brooklyn, NY 11235, USA",40.5893913,-73.952055
609,Stop & Shop Pharmacy 509 ,"74-17 Grand Avenue, Queens",,(833) 910-3590,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+),,"74-17 Grand Ave, Queens, NY 11373, USA",40.7310745,-73.8871573
610,Stop & Shop Pharmacy 566 ,"70-20 Rockaway Beach Boulevard, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(833) 910-3590,Pharmacy ,Vaccines offered:Pfizer (5-11)Johnson & Johnson (18+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , ","70-20 Rockaway Beach Blvd, Arverne, NY 11692, USA",40.5902653,-73.7994473
611,Stop & Shop Pharmacy 581 ,"2754 Hylan Boulevard, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(833) 910-3590,Pharmacy ,Vaccines offered:Pfizer (5-11)Johnson & Johnson (18+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , ","Parking lot, 2754 Hylan Blvd, Staten Island, NY 10306, USA",40.564331,-74.1152329
612,Subhan Pharmacy Inc ,"1067 Coney Island Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(347) 533-4737,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+)Johnson & Johnson (18+),"Walk-up vaccinations available to all eligible New Yorkers , ","1067 Coney Island Ave, Brooklyn, NY 11230, USA",40.6315523,-73.9662324
613,Sure Drugs ,"312 Ralph Ave, Brooklyn",,N/A,Pharmacy ,Vaccine offered:Moderna (18+),,"312 Ralph Ave, Brooklyn, NY 11233, USA",40.6784957,-73.9218257
614,Suredrugs Pharmacy ,"118-06 101st Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 880-2500,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","118-06 101st Ave, Jamaica, NY 11419, USA",40.6896245,-73.826504
615,SV Wellness Pharmacy ,"2173C 68th Street, Brooklyn",,(718) 975-0530,Pharmacy ,Vaccines offered:Pfizer (5-11)Moderna (18+)Pfizer (12+)Johnson & Johnson (18+),,"2173c 68th St, Brooklyn, NY 11204, USA",40.6124105,-73.9834914
616,Taino Pharmacy ,"2403 2nd Avenue, Manhattan",,(212) 987-3602,Pharmacy ,Vaccine offered:Moderna (18+),,"2403 2nd Ave, New York, NY 10035, USA",40.8017477,-73.9346733
617,Teba Pharmacy ,"7618 5th Avenue, Brooklyn",,(347) 517-4833,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+)Pfizer (12+)Pfizer (5-11),,"7618 5th Ave, Brooklyn, NY 11209, USA",40.6283741,-74.0233458
618,The 90th Street Pharmacy ,"1262 Madison Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(212) 289-9168,Pharmacy ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , ","1262 Madison Ave, New York, NY 10128, USA",40.7837389,-73.9569864
619,Tompkinsville Pharmacy ,"45 Victory Boulevard, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 727-0430,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+)Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","45 Victory Blvd, Staten Island, NY 10301, USA",40.6380219,-74.0772392
620,Top Value Pharmacy & Compounding ,"3811 Dyre Avenue, Bronx",,N/A,Pharmacy ,Vaccine offered:Moderna (18+),,"3811 Dyre Ave, Bronx, NY 10466, USA",40.888249,-73.831689
621,Town Drug ,"501 West 113th Street, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(212) 678-0636,Pharmacy ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , ","501 W 113th St, New York, NY 10025, USA",40.805201,-73.9627312
622,"Traymore Chemists, Inc. ","110-80 Queens Boulevard, Queens",,(718) 261-8440,Pharmacy ,Vaccine offered:Johnson & Johnson (18+),,"110-80 Queens Blvd, Forest Hills, NY 11375, USA",40.7186007,-73.8386174
623,Trinity Rx Corp ,"75-21 Myrtle Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 366-2109,Pharmacy ,Vaccines offered:Pfizer (12+)Johnson & Johnson (18+)Moderna (18+)Pfizer (5-11),"Walk-up vaccinations available to all eligible New Yorkers , ","75-21 Myrtle Ave, Flushing, NY 11385, USA",40.702784,-73.872713
624,Truemed Pharmacy ,"2262 Webster Avenue, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(347) 879-8144,Pharmacy ,Vaccines offered:Moderna (18+)Pfizer (12+)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","2262 Webster Ave, Bronx, NY 10457, USA",40.8557232,-73.8956102
625,Tu Quynh Pharmacy ,"230 Grand Street, Suite A1-2, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(212) 966-6878,Pharmacy ,Vaccines offered:Moderna (18+)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","230 Grand St a1 2, New York, NY 10013, USA",40.7187329,-73.9950844
626,Turnpike Meds Rx Inc ,"179-14 Union Turnpike, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 749-9915,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , ","179-14 Union Tpke, Flushing, NY 11366, USA",40.7265425,-73.7885898
627,United Dhaka Pharmacy ,"159-13 Hillside Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(917) 396-4944,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+)Pfizer (5-11),"Walk-up vaccinations available to all eligible New Yorkers , ","159-13 Hillside Avenue, Queens, NY 11432, USA",40.7080798,-73.8023653
628,United Pharmacy LLC ,"5539 Broadway, Bronx",,(718) 884-2500,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),,"5539 Broadway, Bronx, NY 10463, USA",40.878109,-73.9057386
629,V&A Pharmacy ,"72 Manhattan Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 388-8500,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),"Walk-up vaccinations available to all eligible New Yorkers , ","72 Manhattan Ave, Brooklyn, NY 11206, USA",40.7047318,-73.9443008
630,VIDA PHARMACY LLC. ,"172 Bushwick Avenue, -, Brooklyn",,(347) 725-4953,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),,"172 Bushwick Ave, Brooklyn, NY 11206, USA",40.7097059,-73.9403564
631,Vida Sana Pharmacy ,"88-22 37th Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 433-9800,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+)Pfizer (5-11)Johnson & Johnson (18+),"Walk-up vaccinations available to all eligible New Yorkers , ","88-22 37th Ave, Jackson Heights, NY 11372, USA",40.7502096,-73.87805
632,Village Pharmacy ,"12-27 150th Street, Queens",,(347) 732-4772,Pharmacy ,Vaccines offered:Moderna (18+)Pfizer (12+)Johnson & Johnson (18+),,"12-27 150th St, Whitestone, NY 11357, USA",40.7900138,-73.8140034
633,Vitality Drug & Surgical ,"257-07 Union Turnpike, Queens",,(718) 343-0070,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+)Pfizer (12+),,"257-07 Union Tpke, Glen Oaks, NY 11004, USA",40.7462382,-73.714387
634,Vitalscript Pharmacy ,"83-19 37th Street, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 424-1101,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Pfizer (5-11)Moderna (18+)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","23-83 37th St, Queens, NY 11105, USA",40.7702609,-73.9115359
635,Viva Pharmacy & Wellness ,"80-14 Northern Boulevard, Queens",,(646) 632-2636,Pharmacy ,Vaccine offered:Moderna (18+),,"80-14 Northern Blvd, Jackson Heights, NY 11372, USA",40.7551803,-73.8867845
636,VLS Pharmacy Inc ,"4402 5th Avenue, Brooklyn",,(718) 854-1384,Pharmacy ,Vaccine offered:Moderna (18+),,"4402 5th Ave, Brooklyn, NY 11220, USA",40.648517,-74.007164
637,Walgreens/Duane Reade ,"1 Union Square South, Manhattan",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),,"1 Union Square South, New York, NY 10003, USA",40.734279,-73.9902571
638,Walgreens/Duane Reade ,"1 Whitehall Street, Manhattan",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),,"1 Whitehall St, New York, NY 10004, USA",40.7038046,-74.0128442
639,Walgreens/Duane Reade ,"100 Broadway, Manhattan",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),,"100 Broadway, New York, NY 10005, USA",40.7079934,-74.0110538
640,Walgreens/Duane Reade ,"100 Delancey Street, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 925-4733,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","100 Delancey St, New York, NY 10002, USA",40.7189698,-73.9888045
641,Walgreens/Duane Reade ,"100 West 57th Street, Manhattan",,(800) 925-4733,Pharmacy ,Vaccine offered:Moderna (18+),,"100 W 57th St, New York, NY 10019, USA",40.7641081,-73.9776418
642,Walgreens/Duane Reade ,"103-14 Roosevelt Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 925-4733,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","103-14 Roosevelt Ave, Corona, NY 11368, USA",40.7494811,-73.8623066
643,Walgreens/Duane Reade ,"1040 St. Johns Place, Brooklyn",,(800) 925-4733,Pharmacy ,Vaccine offered:Moderna (18+),,"1040 St Johns Pl, Brooklyn, NY 11213, USA",40.6709537,-73.9433758
644,Walgreens/Duane Reade ,"104-25 Queens Boulevard, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 925-4733,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","104-25 Queens Blvd, Forest Hills, NY 11375, USA",40.7237425,-73.8480201
645,Walgreens/Duane Reade ,"105 Brighton Beach Avenue, Brooklyn",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),,"105 Brighton Beach Ave, Brooklyn, NY 11235, USA",40.5766002,-73.9676883
646,Walgreens/Duane Reade ,"1052 1st Avenue, Manhattan",,(800) 925-4733,Pharmacy ,Vaccine offered:Moderna (18+),,"1052 1st Ave., New York, NY 10022, USA",40.758522,-73.9624866
647,Walgreens/Duane Reade ,"106-40 Rockaway Beach Boulevard, Queens",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),,"10640 Rockaway Beach Blvd, Rockaway Park, NY 11694, USA",40.5825249,-73.8289074
648,Walgreens/Duane Reade ,"1091 Lexington Avenue, Manhattan",,(800) 925-4733,Pharmacy ,Vaccine offered:Moderna (18+),,"1091 Lexington Ave, New York, NY 10075, USA",40.773369,-73.9598692
649,Walgreens/Duane Reade ,"109-62 Francis Lewis Boulevard, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 925-4733,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","109-62 Francis Lewis Blvd, Queens Village, NY 11429, USA",40.7069489,-73.7511955
650,Walgreens/Duane Reade ,"110-88 Queens Boulevard, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 925-4733,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","110-88 Queens Blvd, Queens, NY 11375, USA",40.7184402,-73.8381986
651,Walgreens/Duane Reade ,"1111 3rd Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 925-4733,Pharmacy ,Vaccines offered:Pfizer (5-11)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , ","1111 3rd Ave, New York, NY 10065, USA",40.7654682,-73.9634017
652,Walgreens/Duane Reade ,"1111 Pennsylvania Avenue, Brooklyn",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),,"1111 Granville Payne Ave, Brooklyn, NY 11207, USA",40.6540173,-73.8866604
653,Walgreens/Duane Reade ,"114 Beverley Road, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 925-4733,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","114 Beverley Rd, Brooklyn, NY 11218, USA",40.642621,-73.9788937
654,Walgreens/Duane Reade ,"116-02 Beach Channel Drive, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 925-4733,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","11602 Beach Channel Dr, Queens, NY 11694, USA",40.5821253,-73.8384603
655,Walgreens/Duane Reade ,"119-02 Rockaway Boulevard, Queens",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),,"119-2 Rockaway Blvd, South Ozone Park, NY 11420, USA",40.6755477,-73.8192496
656,Walgreens/Duane Reade ,"1191 2nd Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 925-4733,Pharmacy ,Vaccines offered:Pfizer (5-11)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , ","1191 2nd Ave, New York, NY 10065, USA",40.7631075,-73.9630738
657,Walgreens/Duane Reade ,"119-10 Liberty Avenue, Queens",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),,"119-10 Liberty Ave, South Richmond Hill, NY 11419, USA",40.6862234,-73.8236318
658,Walgreens/Duane Reade ,"120 Court Street, Brooklyn",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),,"120 Court St, Brooklyn, NY 11201, USA",40.6899987,-73.9924994
659,Walgreens/Duane Reade ,"122 East 42nd Street, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 925-4733,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","122 E 42nd St, New York, NY 10168, USA",40.7513991,-73.9763861
660,Walgreens/Duane Reade ,"1227 Forest Avenue, Staten Island",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),,"1227 Forest Ave, Staten Island, NY 10310, USA",40.6265594,-74.1310153
661,Walgreens/Duane Reade ,"1231 Madison Avenue, Manhattan",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),,"1231 Madison Ave, New York, NY 10128, USA",40.7825136,-73.9573556
662,Walgreens/Duane Reade ,"1235 Lexington Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 925-4733,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","1235 Lexington Ave, New York, NY 10028, USA",40.777935,-73.956397
663,Walgreens/Duane Reade ,"125 3rd Avenue, Manhattan",,(800) 925-4733,Pharmacy ,Vaccine offered:Moderna (18+),,"125 3rd Ave, New York, NY 10003, USA",40.733367,-73.9867081
664,Walgreens/Duane Reade ,"1251 Avenue Of The Americas, Manhattan",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),,"1251 6th Ave, New York, NY 10020, USA",40.7600252,-73.9816414
665,Walgreens/Duane Reade ,"127-04 Guy R Brewer Boulevard, Queens",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),,"127-4 Guy R Brewer Blvd, Jamaica, NY 11434, USA",40.678131,-73.7793383
666,Walgreens/Duane Reade ,"1281 Fulton Street, Brooklyn",,(800) 925-4733,Pharmacy ,Vaccine offered:Moderna (18+),,"1281 Fulton St, Brooklyn, NY 11216, USA",40.6805095,-73.9502355
667,Walgreens/Duane Reade ,"132-50 Metropolitan Avenue, Queens",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),,"13250 Metropolitan Ave, Richmond Hill, NY 11418, USA",40.7026127,-73.8185945
668,Walgreens/Duane Reade ,"1328 2nd Avenue, Manhattan",,(800) 925-4733,Pharmacy ,Vaccine offered:Moderna (18+),,"1328 2nd Ave, New York, NY 10021, USA",40.7676405,-73.9588975
669,Walgreens/Duane Reade ,"133 Dyckman Street, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 925-4733,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , ","133 Dyckman St, New York, NY 10040, USA",40.8632125,-73.9253829
670,Walgreens/Duane Reade ,"135 East 125th Street, Manhattan",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),,"135 E 125th St, New York, NY 10035, USA",40.8047177,-73.9374068
671,Walgreens/Duane Reade ,"1350 Broadway, Manhattan",,(800) 925-4733,Pharmacy ,Vaccine offered:Moderna (18+),,"1350 Broadway, New York, NY 10018, USA",40.7510892,-73.9873064
672,Walgreens/Duane Reade ,"1352 1st Avenue, Manhattan",,(800) 925-4733,Pharmacy ,Vaccine offered:Moderna (18+),,"1352 1st Ave., New York, NY 10021, USA",40.7679707,-73.9554388
673,Walgreens/Duane Reade ,"136-02 Roosevelt Avenue, Queens",,(800) 925-4733,Pharmacy ,Vaccine offered:Moderna (18+),,"136-2 Roosevelt Ave, Flushing, NY 11354, USA",40.7594201,-73.8297012
674,Walgreens/Duane Reade ,"1366 Broadway, Brooklyn",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),,"1366 Broadway, Brooklyn, NY 11221, USA",40.6892605,-73.9221584
